かしこまり	クリスマスソング / back number ( cover by かしこまり )	クリスマスソング	l-RLPc55zb4
かしこまり	lemon / 米津玄師 ( cover by かしこまり )	lemon	VXAMuERH0Gg
かしこまり	打上花火 / daoko × 米津玄師 ( cover by かしこまり )	打上花火	Rz9aLowL5ck
かしこまり	シュガーソングとビターステップ / unison square garden( cover by かしこまり )	シュガーソングとビターステップ	GRh8XiHnXpw
かしこまり	god knows... / 涼宮ハルヒ ( cover by かしこまり )	god knows...	JkBg88ot3sU
かしこまり	コネクト / claris ( cover by かしこまり )	コネクト	AQCL88Upry4
かしこまり	君の知らない物語 / supercell ( cover by かしこまり )	君の知らない物語	Xkyy4gSVma8
かしこまり	星間飛行 / ランカ・リー(中島愛)( cover by かしこまり )	星間飛行	pkL5Lvu1kWM
かしこまり	メルト / 初音ミク ( cover by かしこまり )	メルト	wRmYHK14yyI
YuNi	【メリクリ🎄】クリスマスソング 歌ってみた -yuni 【backnumber】	クリスマスソング	NQ97uD3od5I
YuNi	【祝☆半年記念日】ロキ コラボで歌ってみた - かしこまり×yuni 【みきとp】	ロキ	mxKCX19vIZg
YuNi	【そんなわけないや】ヒバナ 歌ってみた - yuni	ヒバナ	uaKIi_UhsNo
YuNi	【yuniアレンジ】奏 歌ってみた - yuni	奏	y2ZbEta0ugw
YuNi	【コラボ】脳漿炸裂ガール 歌ってみた - 天神子兎音×yuni	脳漿炸裂ガール	CYpOUcLtwT0
YuNi	【コラボ】mrs.pumpkinの滑稽な夢 女子4人で歌ってみた - そら×まり×アオ×yuni	mrs.pumpkinの滑稽な夢	gb_jfOQd64c
YuNi	【コラボ】 happy halloween 女子3人で歌ってみた - おめシス × yuni	happy halloween	l71rBXM1Rgg
YuNi	【yuni落下】アスノヨゾラ哨戒班 歌ってみた - yuni	アスノヨゾラ哨戒班	oP4bzAOmFos
YuNi	【愚者のメロディー】妄想感傷代償連盟 歌ってみた - yuni	妄想感傷代償連盟	jlcXiaiG2IY
YuNi	【コラボ】からくりピエロ 歌ってみた - 響木アオ × yuni	からくりピエロ	FCRRxX5PoX4
YuNi	【生きろ】命に嫌われている。 歌ってみた - yuni	命に嫌われている。	85LtMbcugjI
YuNi	【わたしのヒカリ】lemon 歌ってみた(生歌) -yuni 【米津玄師】	lemon	NIOIRrLpYJU
YuNi	【苦手発覚】crossing field 歌ってみた(生歌) - yuni 【ソードアート・オンライン】	crossing field	DGJAG7JH8Go
YuNi	【こっち向いてったら!】おねがいダーリン 歌ってみた(生歌) - yuni	おねがいダーリン	uHT5tGjRbfg
YuNi	【みつかっちゃった...】secret base ~君がくれたもの~ 歌ってみた(生歌) - yuni【あの花】	secret base ~君がくれたもの~	BjgmNg37WvU
YuNi	【初デュエット】打上花火 歌ってみた(生歌) - yuni 【daoko × 米津玄師】	打上花火	TTJozNXj02g
YuNi	【サンキュー】 ハロ/ハワユ 歌ってみた(生歌) - yuni	ハロ/ハワユ	AgjgTQLddY0
YuNi	【息継ぎ必死】シャルル 歌ってみた(生歌) - yuni	シャルル	LjkDJHk2KrE
YuNi	【早口苦戦】砂の惑星 歌ってみた(生歌) - yuni	砂の惑星	OdtLcNpsmwc
YuNi	【ご存知、ないのですか!?】祝10周年! 星間飛行 歌ってみた(生歌) - yuni 【マクロスf / ランカ・リー】	星間飛行	McRFlW3gV1M
YuNi	【ウエストがしんどい】エイリアンエイリアン 歌ってみた(生歌) - yuni	エイリアンエイリアン	BxgZRlx_pDE
音羽ララ	《ボカロ名曲》千本桜 歌ってみた ♪音羽ララ♪	千本桜	69nGHjYeFQ0
音羽ララ	《saoその3》crossing field 歌ってみた ♪音羽ララ♪	crossing field	TY3OwbGELEQ
音羽ララ	《操ってよ》からくりピエロ 歌ってみた ♪音羽ララ♪	からくりピエロ	mqxDstnw5qQ
音羽ララ	《メーデー》ゴーストルール 歌ってみた ♪音羽ララ♪	ゴーストルール	pnyujuOcjDE
音羽ララ	《早口がんばった》ドラマツルギー 歌ってみた ♪音羽ララ♪	ドラマツルギー	lT32NkU89Pg
音羽ララ	《ララサンタより》クリスマスソング 歌ってみた ♪音羽ララ♪	クリスマスソング	1gcbLH67LfA
音羽ララ	《大好きだって言うため》いーあるふぁんくらぶ 歌ってみた ♪音羽ララ♪	いーあるふぁんくらぶ	YzFKmvsTaCY
音羽ララ	《upd8参加》愛言葉iii 歌ってみた ♪音羽ララ♪	愛言葉iii	gA_BlsjcgxU
音羽ララ	《初ボカロ》ロキ 歌ってみた ♪音羽ララ♪	ロキ	9_tZkZ0-PXM
音羽ララ	《まどマギ》コネクト 歌ってみた ♪音羽ララ♪	コネクト	ua08T2VC0j4
音羽ララ	《sao》catch the moment 歌ってみた ♪音羽ララ♪	catch the moment	4z4i-xJum8E
音羽ララ	《憧れの人》未練レコード 歌ってみた ♪音羽ララ♪	未練レコード	OdnL3G0BOMs
音羽ララ	《蕩れ》君の知らない物語 歌ってみた ♪音羽ララ♪	君の知らない物語	0d030mevPYA
音羽ララ	《ずっとなかよし》secret base ~君がくれたもの~ 歌ってみた ♪音羽ララ♪	secret base ~君がくれたもの~	5l0Vypq1les
おめシス	からくりピエロ / 初音ミク by おめがリオ	からくりピエロ	owl2ZtgDRHI
おめシス	【メーデー】ゴーストルール / 初音ミク byおめがシスターズ	ゴーストルール	FVfim9jNQVg
おめシス	【まどマギ】コネクト / claris by おめがシスターズ	コネクト	sYNL6WlW-e8
おめシス	【血界戦線】シュガーソングとビターステップ / unison square garden by おめがシスターズ	シュガーソングとビターステップ	pSBk3QVY3cA
